Data da Venda,ID do Cliente,Produto,Categoria,Tipo de Pet,Quantidade,Preço Unitário,Valor Total
2019-05-18,C0340,Antipulgas,Remédio,Cachorro,4,65.0,260.0
2019-05-18,C0270,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-05-18,C0428,Comida para Peixe,Ração,Peixe,4,15.0,60.0
2019-05-19,C0146,Comedouro,Acessórios,Cachorro,4,20.0,80.0
2019-05-19,C0435,Antipulgas,Remédio,Cachorro,2,65.0,130.0
2019-05-19,C0450,Ração Premium,Ração,Cachorro,2,120.0,240.0
2019-05-19,C0085,Gaiola Pequena,Acessórios,Pássaro,2,85.0,170.0
2019-05-20,C0028,Ração Premium,Ração,Gato,2,120.0,240.0
2019-05-20,C0341,Aquário Pequeno,Acessórios,Peixe,2,150.0,300.0
2019-05-20,C0490,Coleira,Acessórios,Gato,4,35.0,140.0
2019-05-22,C0124,Ração Premium,Ração,Gato,2,120.0,240.0
2019-05-23,C0123,Comida para Peixe,Ração,Peixe,4,15.0,60.0
2019-05-23,C0220,Shampoo Pet,Higiene,Cachorro,4,30.0,120.0
2019-05-24,C0248,Aquário Pequeno,Acessórios,Peixe,4,150.0,600.0
2019-05-25,C0167,Antipulgas,Remédio,Gato,3,65.0,195.0
2019-05-25,C0033,Comedouro,Acessórios,Cachorro,4,20.0,80.0
2019-05-25,C0213,Areia Higiênica,Higiene,Gato,2,22.0,44.0
2019-05-26,C0166,Areia Higiênica,Higiene,Gato,2,22.0,44.0
2019-05-28,C0374,Arranhador,Brinquedo,Gato,1,60.0,60.0
2019-05-28,C0373,Brinquedo Bola,Brinquedo,Cachorro,1,25.0,25.0
2019-05-29,C0366,Alpiste,Ração,Pássaro,4,10.0,40.0
2019-05-29,C0340,Aquário Pequeno,Acessórios,Peixe,2,150.0,300.0
2019-05-30,C0157,Aquário Pequeno,Acessórios,Peixe,3,150.0,450.0
2019-05-30,C0146,Coleira,Acessórios,Cachorro,1,35.0,35.0
2019-05-31,C0382,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-05-31,C0129,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-05-31,C0174,Arranhador,Brinquedo,Gato,3,60.0,180.0
2019-05-31,C0462,Brinquedo Bola,Brinquedo,Cachorro,4,25.0,100.0
2019-06-02,C0416,Aquário Pequeno,Acessórios,Peixe,4,150.0,600.0
2019-06-02,C0091,Brinquedo Bola,Brinquedo,Cachorro,1,25.0,25.0
2019-06-02,C0183,Areia Higiênica,Higiene,Gato,4,22.0,88.0
2019-06-03,C0025,Gaiola Pequena,Acessórios,Pássaro,4,85.0,340.0
2019-06-03,C0404,Gaiola Pequena,Acessórios,Pássaro,2,85.0,170.0
2019-06-04,C0309,Coleira,Acessórios,Gato,4,35.0,140.0
2019-06-04,C0212,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-06-05,C0435,Antipulgas,Remédio,Gato,4,65.0,260.0
2019-06-05,C0425,Alpiste,Ração,Pássaro,3,10.0,30.0
2019-06-06,C0057,Ração Premium,Ração,Cachorro,2,120.0,240.0
2019-06-06,C0100,Antipulgas,Remédio,Gato,3,65.0,195.0
2019-06-06,C0475,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-06-06,C0053,Coleira,Acessórios,Gato,2,35.0,70.0
2019-06-06,C0081,Ração Premium,Ração,Cachorro,3,120.0,360.0
2019-06-08,C0003,Gaiola Pequena,Acessórios,Pássaro,4,85.0,340.0
2019-06-08,C0148,Comedouro,Acessórios,Cachorro,4,20.0,80.0
2019-06-08,C0226,Comida para Peixe,Ração,Peixe,1,15.0,15.0
2019-06-08,C0008,Antipulgas,Remédio,Gato,2,65.0,130.0
2019-06-08,C0309,Aquário Pequeno,Acessórios,Peixe,3,150.0,450.0
2019-06-09,C0495,Comida para Peixe,Ração,Peixe,4,15.0,60.0
2019-06-10,C0428,Ração Econômica,Ração,Gato,3,70.0,210.0
2019-06-10,C0162,Comida para Peixe,Ração,Peixe,3,15.0,45.0
2019-06-10,C0489,Ração Econômica,Ração,Cachorro,4,70.0,280.0
2019-06-11,C0415,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-06-11,C0447,Brinquedo Bola,Brinquedo,Cachorro,3,25.0,75.0
2019-06-11,C0127,Coleira,Acessórios,Gato,2,35.0,70.0
2019-06-12,C0086,Aquário Pequeno,Acessórios,Peixe,2,150.0,300.0
2019-06-12,C0405,Ração Econômica,Ração,Gato,2,70.0,140.0
2019-06-13,C0191,Gaiola Pequena,Acessórios,Pássaro,1,85.0,85.0
2019-06-13,C0491,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-06-13,C0265,Comedouro,Acessórios,Gato,4,20.0,80.0
2019-06-13,C0118,Comedouro,Acessórios,Cachorro,4,20.0,80.0
2019-06-14,C0445,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-06-14,C0184,Antipulgas,Remédio,Gato,2,65.0,130.0
2019-06-14,C0465,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-06-14,C0107,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-06-15,C0205,Ração Premium,Ração,Cachorro,1,120.0,120.0
2019-06-16,C0276,Aquário Pequeno,Acessórios,Peixe,1,150.0,150.0
2019-06-16,C0412,Ração Premium,Ração,Cachorro,3,120.0,360.0
2019-06-16,C0251,Ração Econômica,Ração,Gato,3,70.0,210.0
2019-06-17,C0163,Ração Premium,Ração,Cachorro,1,120.0,120.0
2019-06-17,C0071,Comedouro,Acessórios,Cachorro,1,20.0,20.0
2019-06-19,C0030,Ração Econômica,Ração,Gato,4,70.0,280.0
2019-06-19,C0383,Antipulgas,Remédio,Gato,4,65.0,260.0
2019-06-19,C0034,Shampoo Pet,Higiene,Cachorro,3,30.0,90.0
2019-06-19,C0116,Antipulgas,Remédio,Gato,4,65.0,260.0
2019-06-21,C0277,Comida para Peixe,Ração,Peixe,4,15.0,60.0
2019-06-21,C0366,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-06-22,C0199,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-06-22,C0465,Ração Premium,Ração,Gato,4,120.0,480.0
2019-06-22,C0468,Brinquedo Bola,Brinquedo,Cachorro,4,25.0,100.0
2019-06-23,C0051,Antipulgas,Remédio,Gato,1,65.0,65.0
2019-06-23,C0010,Coleira,Acessórios,Gato,2,35.0,70.0
2019-06-23,C0132,Brinquedo Bola,Brinquedo,Cachorro,1,25.0,25.0
2019-06-24,C0170,Coleira,Acessórios,Cachorro,4,35.0,140.0
2019-06-24,C0241,Antipulgas,Remédio,Cachorro,1,65.0,65.0
2019-06-25,C0159,Ração Premium,Ração,Gato,2,120.0,240.0
2019-06-25,C0286,Comida para Peixe,Ração,Peixe,2,15.0,30.0
2019-06-27,C0129,Brinquedo Bola,Brinquedo,Cachorro,4,25.0,100.0
2019-06-28,C0380,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-06-29,C0107,Comida para Peixe,Ração,Peixe,2,15.0,30.0
2019-06-30,C0410,Aquário Pequeno,Acessórios,Peixe,1,150.0,150.0
2019-06-30,C0150,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-07-01,C0274,Arranhador,Brinquedo,Gato,3,60.0,180.0
2019-07-01,C0004,Areia Higiênica,Higiene,Gato,4,22.0,88.0
2019-07-03,C0175,Coleira,Acessórios,Cachorro,4,35.0,140.0
2019-07-03,C0273,Gaiola Pequena,Acessórios,Pássaro,4,85.0,340.0
2019-07-03,C0169,Antipulgas,Remédio,Gato,3,65.0,195.0
2019-07-04,C0295,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-07-05,C0195,Brinquedo Bola,Brinquedo,Cachorro,2,25.0,50.0
2019-07-05,C0209,Aquário Pequeno,Acessórios,Peixe,4,150.0,600.0
2019-07-05,C0145,Comedouro,Acessórios,Gato,2,20.0,40.0
2019-07-07,C0172,Ração Econômica,Ração,Gato,3,70.0,210.0
2019-07-07,C0236,Comedouro,Acessórios,Cachorro,3,20.0,60.0
2019-07-08,C0214,Shampoo Pet,Higiene,Cachorro,1,30.0,30.0
2019-07-08,C0026,Gaiola Pequena,Acessórios,Pássaro,3,85.0,255.0
2019-07-09,C0226,Arranhador,Brinquedo,Gato,1,60.0,60.0
2019-07-09,C0166,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-07-11,C0004,Alpiste,Ração,Pássaro,2,10.0,20.0
2019-07-12,C0224,Brinquedo Bola,Brinquedo,Cachorro,3,25.0,75.0
2019-07-12,C0269,Antipulgas,Remédio,Gato,3,65.0,195.0
2019-07-12,C0254,Aquário Pequeno,Acessórios,Peixe,3,150.0,450.0
2019-07-12,C0120,Comida para Peixe,Ração,Peixe,1,15.0,15.0
2019-07-13,C0485,Comida para Peixe,Ração,Peixe,3,15.0,45.0
2019-07-13,C0029,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-07-13,C0433,Comida para Peixe,Ração,Peixe,4,15.0,60.0
2019-07-15,C0393,Ração Premium,Ração,Cachorro,3,120.0,360.0
2019-07-15,C0060,Comida para Peixe,Ração,Peixe,3,15.0,45.0
2019-07-15,C0326,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-07-15,C0294,Ração Premium,Ração,Gato,3,120.0,360.0
2019-07-16,C0035,Brinquedo Bola,Brinquedo,Cachorro,2,25.0,50.0
2019-07-17,C0095,Coleira,Acessórios,Cachorro,3,35.0,105.0
2019-07-18,C0270,Comida para Peixe,Ração,Peixe,2,15.0,30.0
2019-07-18,C0253,Ração Econômica,Ração,Gato,1,70.0,70.0
2019-07-19,C0156,Arranhador,Brinquedo,Gato,3,60.0,180.0
2019-07-19,C0261,Ração Premium,Ração,Cachorro,4,120.0,480.0
2019-07-19,C0457,Alpiste,Ração,Pássaro,2,10.0,20.0
2019-07-19,C0413,Gaiola Pequena,Acessórios,Pássaro,2,85.0,170.0
2019-07-20,C0305,Antipulgas,Remédio,Gato,1,65.0,65.0
2019-07-21,C0258,Comedouro,Acessórios,Cachorro,3,20.0,60.0
2019-07-22,C0036,Arranhador,Brinquedo,Gato,3,60.0,180.0
2019-07-23,C0274,Arranhador,Brinquedo,Gato,3,60.0,180.0
2019-07-24,C0355,Comida para Peixe,Ração,Peixe,3,15.0,45.0
2019-07-24,C0229,Comida para Peixe,Ração,Peixe,1,15.0,15.0
2019-07-25,C0416,Coleira,Acessórios,Gato,1,35.0,35.0
2019-07-25,C0003,Ração Econômica,Ração,Gato,3,70.0,210.0
2019-07-26,C0247,Antipulgas,Remédio,Cachorro,1,65.0,65.0
2019-07-26,C0372,Antipulgas,Remédio,Cachorro,3,65.0,195.0
2019-07-27,C0391,Alpiste,Ração,Pássaro,2,10.0,20.0
2019-07-27,C0351,Shampoo Pet,Higiene,Gato,4,30.0,120.0
2019-07-28,C0098,Coleira,Acessórios,Gato,1,35.0,35.0
2019-07-28,C0303,Alpiste,Ração,Pássaro,3,10.0,30.0
2019-07-28,C0093,Shampoo Pet,Higiene,Gato,1,30.0,30.0
2019-07-29,C0256,Comida para Peixe,Ração,Peixe,2,15.0,30.0
2019-07-29,C0494,Brinquedo Bola,Brinquedo,Cachorro,1,25.0,25.0
2019-07-29,C0232,Comida para Peixe,Ração,Peixe,4,15.0,60.0
2019-07-29,C0366,Aquário Pequeno,Acessórios,Peixe,2,150.0,300.0
2019-07-30,C0409,Ração Econômica,Ração,Cachorro,1,70.0,70.0
2019-07-30,C0311,Alpiste,Ração,Pássaro,2,10.0,20.0
2019-07-31,C0331,Brinquedo Bola,Brinquedo,Cachorro,3,25.0,75.0
2019-07-31,C0340,Brinquedo Bola,Brinquedo,Cachorro,1,25.0,25.0
2019-07-31,C0226,Comida para Peixe,Ração,Peixe,2,15.0,30.0
2019-07-31,C0360,Comida para Peixe,Ração,Peixe,2,15.0,30.0
2019-07-31,C0290,Ração Econômica,Ração,Gato,3,70.0,210.0
2019-07-31,C0230,Brinquedo Bola,Brinquedo,Cachorro,2,25.0,50.0
2019-07-31,C0206,Arranhador,Brinquedo,Gato,2,60.0,120.0
2019-08-01,C0193,Coleira,Acessórios,Gato,3,35.0,105.0
2019-08-01,C0396,Alpiste,Ração,Pássaro,3,10.0,30.0
2019-08-03,C0462,Antipulgas,Remédio,Cachorro,4,65.0,260.0
2019-08-04,C0051,Comida para Peixe,Ração,Peixe,2,15.0,30.0
2019-08-04,C0249,Coleira,Acessórios,Gato,3,35.0,105.0
2019-08-05,C0430,Gaiola Pequena,Acessórios,Pássaro,3,85.0,255.0
2019-08-05,C0150,Aquário Pequeno,Acessórios,Peixe,2,150.0,300.0
2019-08-06,C0334,Comida para Peixe,Ração,Peixe,3,15.0,45.0
2019-08-07,C0051,Ração Premium,Ração,Gato,1,120.0,120.0
2019-08-07,C0056,Shampoo Pet,Higiene,Gato,1,30.0,30.0
2019-08-08,C0195,Comedouro,Acessórios,Gato,3,20.0,60.0
2019-08-08,C0330,Brinquedo Bola,Brinquedo,Cachorro,4,25.0,100.0
2019-08-09,C0219,Aquário Pequeno,Acessórios,Peixe,2,150.0,300.0
2019-08-09,C0282,Ração Econômica,Ração,Gato,4,70.0,280.0
2019-08-09,C0306,Brinquedo Bola,Brinquedo,Cachorro,1,25.0,25.0
2019-08-10,C0137,Ração Econômica,Ração,Gato,3,70.0,210.0
2019-08-10,C0494,Comida para Peixe,Ração,Peixe,3,15.0,45.0
2019-08-12,C0189,Antipulgas,Remédio,Gato,1,65.0,65.0
2019-08-12,C0285,Comedouro,Acessórios,Gato,1,20.0,20.0
2019-08-12,C0088,Comedouro,Acessórios,Cachorro,3,20.0,60.0
2019-08-12,C0136,Comedouro,Acessórios,Cachorro,1,20.0,20.0
2019-08-12,C0372,Coleira,Acessórios,Cachorro,2,35.0,70.0
2019-08-13,C0203,Ração Premium,Ração,Gato,4,120.0,480.0
2019-08-13,C0209,Ração Premium,Ração,Gato,4,120.0,480.0
2019-08-15,C0041,Brinquedo Bola,Brinquedo,Cachorro,3,25.0,75.0
2019-08-15,C0181,Brinquedo Bola,Brinquedo,Cachorro,4,25.0,100.0
2019-08-15,C0181,Shampoo Pet,Higiene,Cachorro,2,30.0,60.0
2019-08-18,C0018,Arranhador,Brinquedo,Gato,2,60.0,120.0
2019-08-18,C0056,Brinquedo Bola,Brinquedo,Cachorro,3,25.0,75.0
2019-08-18,C0094,Areia Higiênica,Higiene,Gato,2,22.0,44.0
2019-08-18,C0373,Areia Higiênica,Higiene,Gato,4,22.0,88.0
2019-08-18,C0455,Areia Higiênica,Higiene,Gato,2,22.0,44.0
2019-08-19,C0398,Antipulgas,Remédio,Gato,3,65.0,195.0
2019-08-19,C0434,Comedouro,Acessórios,Cachorro,3,20.0,60.0
2019-08-20,C0351,Gaiola Pequena,Acessórios,Pássaro,4,85.0,340.0
2019-08-20,C0248,Alpiste,Ração,Pássaro,4,10.0,40.0
2019-08-21,C0395,Comedouro,Acessórios,Gato,4,20.0,80.0
2019-08-21,C0247,Aquário Pequeno,Acessórios,Peixe,4,150.0,600.0
2019-08-21,C0009,Ração Premium,Ração,Gato,2,120.0,240.0
2019-08-21,C0493,Ração Econômica,Ração,Cachorro,1,70.0,70.0
2019-08-22,C0199,Antipulgas,Remédio,Gato,3,65.0,195.0
2019-08-23,C0030,Areia Higiênica,Higiene,Gato,2,22.0,44.0
2019-08-23,C0096,Coleira,Acessórios,Cachorro,1,35.0,35.0
2019-08-24,C0257,Gaiola Pequena,Acessórios,Pássaro,4,85.0,340.0
2019-08-26,C0269,Shampoo Pet,Higiene,Cachorro,3,30.0,90.0
2019-08-26,C0308,Ração Premium,Ração,Cachorro,4,120.0,480.0
2019-08-27,C0405,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-08-27,C0021,Shampoo Pet,Higiene,Gato,4,30.0,120.0
2019-08-28,C0460,Antipulgas,Remédio,Cachorro,3,65.0,195.0
2019-08-28,C0170,Antipulgas,Remédio,Gato,1,65.0,65.0
2019-08-29,C0208,Ração Premium,Ração,Cachorro,4,120.0,480.0
2019-08-30,C0041,Arranhador,Brinquedo,Gato,2,60.0,120.0
2019-08-31,C0054,Comedouro,Acessórios,Gato,3,20.0,60.0
2019-08-31,C0263,Areia Higiênica,Higiene,Gato,3,22.0,66.0
2019-08-31,C0409,Arranhador,Brinquedo,Gato,1,60.0,60.0
2019-08-31,C0435,Comida para Peixe,Ração,Peixe,4,15.0,60.0
2019-09-01,C0330,Coleira,Acessórios,Gato,4,35.0,140.0
2019-09-01,C0265,Ração Premium,Ração,Gato,1,120.0,120.0
2019-09-01,C0155,Coleira,Acessórios,Cachorro,3,35.0,105.0
2019-09-01,C0188,Comedouro,Acessórios,Gato,1,20.0,20.0
2019-09-03,C0411,Coleira,Acessórios,Gato,3,35.0,105.0
2019-09-03,C0139,Brinquedo Bola,Brinquedo,Cachorro,4,25.0,100.0
2019-09-03,C0477,Areia Higiênica,Higiene,Gato,3,22.0,66.0
2019-09-03,C0334,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-09-04,C0330,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-09-05,C0218,Gaiola Pequena,Acessórios,Pássaro,1,85.0,85.0
2019-09-05,C0184,Ração Econômica,Ração,Cachorro,1,70.0,70.0
2019-09-05,C0441,Alpiste,Ração,Pássaro,2,10.0,20.0
2019-09-05,C0320,Alpiste,Ração,Pássaro,2,10.0,20.0
2019-09-05,C0230,Gaiola Pequena,Acessórios,Pássaro,3,85.0,255.0
2019-09-05,C0117,Comida para Peixe,Ração,Peixe,4,15.0,60.0
2019-09-07,C0178,Alpiste,Ração,Pássaro,2,10.0,20.0
2019-09-07,C0348,Arranhador,Brinquedo,Gato,1,60.0,60.0
2019-09-08,C0148,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-09-09,C0168,Comedouro,Acessórios,Gato,3,20.0,60.0
2019-09-10,C0218,Aquário Pequeno,Acessórios,Peixe,3,150.0,450.0
2019-09-10,C0431,Ração Premium,Ração,Gato,3,120.0,360.0
2019-09-11,C0250,Antipulgas,Remédio,Gato,1,65.0,65.0
2019-09-12,C0203,Brinquedo Bola,Brinquedo,Cachorro,3,25.0,75.0
2019-09-12,C0066,Brinquedo Bola,Brinquedo,Cachorro,2,25.0,50.0
2019-09-13,C0462,Shampoo Pet,Higiene,Cachorro,3,30.0,90.0
2019-09-13,C0394,Ração Premium,Ração,Gato,2,120.0,240.0
2019-09-14,C0411,Ração Premium,Ração,Cachorro,4,120.0,480.0
2019-09-14,C0258,Aquário Pequeno,Acessórios,Peixe,4,150.0,600.0
2019-09-14,C0189,Aquário Pequeno,Acessórios,Peixe,4,150.0,600.0
2019-09-15,C0440,Antipulgas,Remédio,Cachorro,4,65.0,260.0
2019-09-16,C0473,Comida para Peixe,Ração,Peixe,1,15.0,15.0
2019-09-17,C0361,Aquário Pequeno,Acessórios,Peixe,1,150.0,150.0
2019-09-17,C0386,Gaiola Pequena,Acessórios,Pássaro,4,85.0,340.0
2019-09-17,C0220,Antipulgas,Remédio,Gato,1,65.0,65.0
2019-09-17,C0332,Areia Higiênica,Higiene,Gato,2,22.0,44.0
2019-09-17,C0177,Brinquedo Bola,Brinquedo,Cachorro,4,25.0,100.0
2019-09-18,C0089,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-09-19,C0328,Brinquedo Bola,Brinquedo,Cachorro,3,25.0,75.0
2019-09-19,C0193,Shampoo Pet,Higiene,Cachorro,1,30.0,30.0
2019-09-19,C0024,Areia Higiênica,Higiene,Gato,2,22.0,44.0
2019-09-19,C0079,Arranhador,Brinquedo,Gato,2,60.0,120.0
2019-09-19,C0473,Shampoo Pet,Higiene,Gato,4,30.0,120.0
2019-09-20,C0206,Brinquedo Bola,Brinquedo,Cachorro,4,25.0,100.0
2019-09-20,C0467,Ração Econômica,Ração,Gato,4,70.0,280.0
2019-09-20,C0159,Aquário Pequeno,Acessórios,Peixe,4,150.0,600.0
2019-09-21,C0175,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-09-21,C0038,Gaiola Pequena,Acessórios,Pássaro,1,85.0,85.0
2019-09-22,C0341,Ração Econômica,Ração,Cachorro,1,70.0,70.0
2019-09-22,C0180,Gaiola Pequena,Acessórios,Pássaro,2,85.0,170.0
2019-09-22,C0134,Gaiola Pequena,Acessórios,Pássaro,3,85.0,255.0
2019-09-22,C0103,Arranhador,Brinquedo,Gato,2,60.0,120.0
2019-09-23,C0461,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-09-23,C0144,Coleira,Acessórios,Gato,2,35.0,70.0
2019-09-24,C0066,Coleira,Acessórios,Cachorro,1,35.0,35.0
2019-09-25,C0422,Antipulgas,Remédio,Gato,3,65.0,195.0
2019-09-25,C0048,Antipulgas,Remédio,Gato,3,65.0,195.0
2019-09-26,C0163,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-09-27,C0260,Areia Higiênica,Higiene,Gato,4,22.0,88.0
2019-09-27,C0475,Comedouro,Acessórios,Gato,2,20.0,40.0
2019-09-27,C0291,Alpiste,Ração,Pássaro,4,10.0,40.0
2019-09-28,C0258,Aquário Pequeno,Acessórios,Peixe,3,150.0,450.0
2019-09-28,C0133,Gaiola Pequena,Acessórios,Pássaro,1,85.0,85.0
2019-09-28,C0409,Alpiste,Ração,Pássaro,2,10.0,20.0
2019-09-29,C0173,Comedouro,Acessórios,Cachorro,1,20.0,20.0
2019-09-29,C0356,Comida para Peixe,Ração,Peixe,4,15.0,60.0
2019-09-29,C0163,Gaiola Pequena,Acessórios,Pássaro,3,85.0,255.0
2019-09-30,C0249,Ração Econômica,Ração,Gato,3,70.0,210.0
2019-09-30,C0363,Shampoo Pet,Higiene,Cachorro,3,30.0,90.0
2019-10-01,C0472,Aquário Pequeno,Acessórios,Peixe,4,150.0,600.0
2019-10-02,C0280,Gaiola Pequena,Acessórios,Pássaro,2,85.0,170.0
2019-10-02,C0198,Aquário Pequeno,Acessórios,Peixe,4,150.0,600.0
2019-10-02,C0099,Ração Econômica,Ração,Cachorro,1,70.0,70.0
2019-10-02,C0057,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-10-04,C0298,Antipulgas,Remédio,Cachorro,4,65.0,260.0
2019-10-04,C0451,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-10-04,C0024,Comedouro,Acessórios,Gato,3,20.0,60.0
2019-10-04,C0031,Arranhador,Brinquedo,Gato,3,60.0,180.0
2019-10-05,C0493,Ração Econômica,Ração,Gato,4,70.0,280.0
2019-10-05,C0489,Antipulgas,Remédio,Cachorro,2,65.0,130.0
2019-10-05,C0105,Comedouro,Acessórios,Cachorro,4,20.0,80.0
2019-10-05,C0389,Coleira,Acessórios,Gato,3,35.0,105.0
2019-10-05,C0213,Aquário Pequeno,Acessórios,Peixe,3,150.0,450.0
2019-10-06,C0072,Aquário Pequeno,Acessórios,Peixe,1,150.0,150.0
2019-10-07,C0012,Alpiste,Ração,Pássaro,1,10.0,10.0
2019-10-07,C0038,Gaiola Pequena,Acessórios,Pássaro,4,85.0,340.0
2019-10-08,C0446,Ração Econômica,Ração,Cachorro,4,70.0,280.0
2019-10-09,C0316,Antipulgas,Remédio,Gato,4,65.0,260.0
2019-10-11,C0404,Coleira,Acessórios,Cachorro,1,35.0,35.0
2019-10-12,C0055,Brinquedo Bola,Brinquedo,Cachorro,1,25.0,25.0
2019-10-13,C0164,Brinquedo Bola,Brinquedo,Cachorro,2,25.0,50.0
